ORF,RANK,BIN,evo_rate_norm
YBR198C,958.0,0Low,0.173017879718259
YBR199W,3697.0,3Medhigh,0.6676900848835109
YBR200W,1292.0,1Medlow,0.23333935344049125
YBR201W,4544.0,4High,0.8206610077659382
YBR202W,832.0,0Low,0.15026187466136898
YBR203W,3262.0,2Medium,0.5891276864728192
YBR204C,4621.0,4High,0.8345674553007043
YBR205W,2649.0,2Medium,0.4784179158389019
YBR207W,2254.0,2Medium,0.40707964601769914
YBR208C,1240.0,1Medlow,0.22394798627415569
YBR210W,2781.0,2Medium,0.5022575401842153
YBR211C,4236.0,3Medhigh,0.7650352176268738
YBR212W,3298.0,2Medium,0.5956294022033592
YBR213W,3926.0,3Medhigh,0.7090482210583349
YBR214W,1176.0,1Medlow,0.21238938053097345
YBR215W,4728.0,4High,0.8538919992775872
YBR216C,4357.0,3Medhigh,0.7868882066100776
YBR217W,3235.0,2Medium,0.5842513996749142
YBR218C,353.0,0Low,0.06375293480223948
YBR220C,3908.0,3Medhigh,0.7057973631930649
YBR221C,501.0,0Low,0.09048221058334838
YBR222C,854.0,0Low,0.15423514538558786
YBR223C,4718.0,4High,0.8520859671302149
YBR225W,3595.0,3Medhigh,0.6492685569803143
YBR227C,1534.0,1Medlow,0.277045331406899
YBR228W,3807.0,3Medhigh,0.6875564385046053
YBR229C,2988.0,2Medium,0.5396424056348204
YBR230C,4378.0,3Medhigh,0.7906808741195593
YBR231C,3566.0,3Medhigh,0.6440310637529348
YBR233W,3631.0,3Medhigh,0.6557702727108543
YBR233W-A,3988.0,3Medhigh,0.7202456203720426
YBR234C,1147.0,1Medlow,0.20715188730359402
YBR235W,1031.0,0Low,0.1862019143940762
YBR236C,921.0,0Low,0.16633556077298176
YBR237W,2778.0,2Medium,0.5017157305400036
YBR238C,672.0,0Low,0.1213653603034134
YBR239C,1938.0,1Medlow,0.35000903016073687
YBR240C,3592.0,3Medhigh,0.6487267473361026
YBR241C,2455.0,2Medium,0.4433808921798808
YBR242W,3425.0,3Medhigh,0.6185660104749865
YBR243C,1576.0,1Medlow,0.2846306664258624
YBR244W,1419.0,1Medlow,0.25627596171211847
YBR245C,629.0,0Low,0.11359942206971284
YBR246W,3036.0,2Medium,0.5483113599422069
YBR247C,848.0,0Low,0.15315152609716454
YBR248C,874.0,0Low,0.1578472096803323
YBR249C,362.0,0Low,0.06537836373487448
YBR250W,3989.0,3Medhigh,0.7204262235867799
YBR251W,1424.0,1Medlow,0.25717897778580456
YBR252W,1191.0,1Medlow,0.21509842875203178
YBR253W,4245.0,3Medhigh,0.7666606465595087
YBR254C,1592.0,1Medlow,0.28752031786165794
YBR255C-A,1941.0,1Medlow,0.35055083980494856
YBR255W,3440.0,3Medhigh,0.6212750586960448
YBR256C,1245.0,1Medlow,0.2248510023478418
YBR257W,3689.0,3Medhigh,0.6662452591656132
YBR258C,5178.0,4High,0.9351634459093372
YBR259W,5384.0,4High,0.972367708145205
YBR260C,1500.0,1Medlow,0.2709048221058335
YBR261C,1408.0,1Medlow,0.254289326350009
YBR262C,5249.0,4High,0.9479862741556799
YBR263W,1704.0,1Medlow,0.30774787791222685
YBR264C,4406.0,3Medhigh,0.7957377641322015
YBR265W,2559.0,2Medium,0.46216362651255194
YBR267W,2557.0,2Medium,0.4618024200830775
YBR268W,4091.0,3Medhigh,0.7388477514899765
YBR269C,2404.0,2Medium,0.43417012822828244
YBR270C,2936.0,2Medium,0.5302510384684848
YBR271W,4515.0,4High,0.8154235145385588
YBR272C,5059.0,4High,0.9136716633556077
YBR273C,4453.0,4High,0.804226115224851
YBR274W,2228.0,2Medium,0.40238396243453134
YBR275C,4921.0,4High,0.888748419721871
YBR276C,4348.0,3Medhigh,0.7852627776774427
YBR278W,5040.0,4High,0.9102402022756005
YBR279W,2688.0,2Medium,0.4854614412136536
YBR280C,2947.0,2Medium,0.5322376738305942
YBR281C,1518.0,1Medlow,0.27415567997110346
YBR282W,2092.0,1Medlow,0.3778219252302691
YBR283C,1595.0,1Medlow,0.2880621275058696
YBR284W,4567.0,4High,0.8248148817048944
YBR285W,5380.0,4High,0.9716452952862561
YBR286W,1593.0,1Medlow,0.28770092107639517
YBR287W,1152.0,1Medlow,0.2080549033772801
YBR288C,3550.0,3Medhigh,0.6411414123171393
YBR289W,2591.0,2Medium,0.46794292938414306
YBR290W,1933.0,1Medlow,0.3491060140870508
YBR291C,738.0,0Low,0.13328517247607008
YBR293W,2966.0,2Medium,0.5356691349106014
YBR294W,1588.0,1Medlow,0.2867979050027091
YBR295W,5361.0,4High,0.9682138342062488
YBR296C,650.0,0Low,0.1173920895791945
YBR297W,4625.0,4High,0.8352898681596532
YBR298C,3616.0,3Medhigh,0.6530612244897959
YBR299W,1324.0,1Medlow,0.23911865631208234
YBR301W,2941.0,2Medium,0.5311540545421709
YCL001W,1920.0,1Medlow,0.34675817229546685
YCL001W-B,4442.0,4High,0.8022394798627416
YCL002C,4536.0,4High,0.8192161820480405
YCL004W,2893.0,2Medium,0.5224851002347842
YCL005W,5297.0,4High,0.9566552284630666
YCL005W-A,1992.0,1Medlow,0.35976160375654687
YCL008C,4997.0,4High,0.9024742640418999
YCL009C,610.0,0Low,0.11016796098970562
YCL010C,3021.0,2Medium,0.5456023117211486
YCL011C,2397.0,2Medium,0.4329059057251219
YCL012C,3156.0,2Medium,0.5699837457106737
YCL014W,4862.0,4High,0.8780928300523749
YCL016C,3764.0,3Medhigh,0.6797905002709048
YCL017C,606.0,0Low,0.10944554813075673
YCL018W,478.0,0Low,0.08632833664439227
YCL019W,3747.0,3Medhigh,0.676720245620372
YCL021W-A,5510.0,4High,0.995123713202095
YCL024W,4488.0,4High,0.8105472277406538
YCL025C,963.0,0Low,0.17392089579194508
YCL026C-A,3847.0,3Medhigh,0.6947805670940943
YCL026C-B,1955.0,1Medlow,0.35307928481126966
YCL027W,4579.0,4High,0.826982120281741
YCL028W,3658.0,3Medhigh,0.6606465595087593
YCL029C,2978.0,2Medium,0.5378363734874481
YCL030C,1037.0,0Low,0.18728553368249956
YCL031C,2035.0,1Medlow,0.36752754199024745
YCL032W,3581.0,3Medhigh,0.6467401119739932
YCL033C,2106.0,1Medlow,0.3803503702365902
YCL034W,2407.0,2Medium,0.4347119378724941
YCL035C,2120.0,1Medlow,0.38287881524291134
YCL036W,4073.0,3Medhigh,0.7355968936247065
YCL037C,3911.0,3Medhigh,0.7063391728372765
YCL038C,2312.0,2Medium,0.417554632472458
YCL039W,2850.0,2Medium,0.5147191620010836
YCL040W,740.0,0Low,0.1336463789055445
YCL043C,2046.0,1Medlow,0.36951417735235687
YCL044C,2193.0,1Medlow,0.39606284991872853
YCL045C,4739.0,4High,0.8558786346396966
YCL047C,3853.0,3Medhigh,0.6958641863825176
YCL048W,3078.0,2Medium,0.5558966949611703
YCL048W-A,4257.0,3Medhigh,0.7688278851363555
YCL049C,5264.0,4High,0.9506953223767383
YCL050C,1509.0,1Medlow,0.2725302510384685
YCL051W,4798.0,4High,0.8665342243091927
YCL052C,3768.0,3Medhigh,0.6805129131298537
YCL054W,814.0,0Low,0.14701101679609896
YCL055W,626.0,0Low,0.11305761242550118
YCL056C,5483.0,4High,0.99024742640419
YCL057C-A,2531.0,2Medium,0.4571067364999097
YCL057W,1837.0,1Medlow,0.3317681054722774
YCL058W-A,4901.0,4High,0.8851363554271267
YCL059C,293.0,0Low,0.05291674191800614
YCL061C,4616.0,4High,0.8336644392270183
YCL063W,4234.0,3Medhigh,0.7646740111973993
YCL064C,1708.0,1Medlow,0.3084702907711757
YCL066W,5129.0,4High,0.9263138883872133
YCL067C,1584.0,1Medlow,0.28607549214376016
YCL069W,3500.0,3Medhigh,0.6321112515802781
YCL073C,5138.0,4High,0.9279393173198482
YCR002C,467.0,0Low,0.08434170128228283
YCR003W,4463.0,4High,0.8060321473722232
YCR004C,970.0,0Low,0.17518511829510566
YCR005C,627.0,0Low,0.1132382156402384
YCR007C,5490.0,4High,0.9915116489073506
